model,basin,name,lead,CRPS,coverage90,reliability_TV,spread_skill,n
CMAL,camels_11451100,,5,1.4729599381511924,0.5216637781629117,0.46152512998266904,4.844257142878187,577
deterministic,camels_11451100,,5,2.1796892416539184,,,,577
CMAL,camels_11451100,,6,1.5203328028281613,0.49913344887348354,0.4756499133448874,2.83789037542962,577
deterministic,camels_11451100,,6,2.2068987154051585,,,,577
CMAL,camels_11451100,,7,1.5398390216955498,0.49913344887348354,0.4808492201039862,2.508513765228311,577
deterministic,camels_11451100,,7,2.2976079012946817,,,,577
CMAL,camels_11468500,,0,0.46176659507353,0.6821917808219178,0.25342465753424664,2.682466823156812,730
deterministic,camels_11468500,,0,0.8546110178509804,,,,730
CMAL,camels_11468500,,1,0.610122576841274,0.6383561643835617,0.2869863013698631,2.5909250344632264,730
deterministic,camels_11468500,,1,0.9713012901071,,,,730
CMAL,camels_11468500,,2,0.6269526997399819,0.6410958904109589,0.29452054794520555,3.4492923119171497,730
deterministic,camels_11468500,,2,0.9603106206410552,,,,730
CMAL,camels_11468500,,3,0.6337261730180208,0.6424657534246575,0.3013698630136986,3.3867614043583507,730
deterministic,camels_11468500,,3,1.019309412208322,,,,730
CMAL,camels_11468500,,4,0.6633886280639948,0.6397260273972603,0.3006849315068493,3.278389990653527,730
deterministic,camels_11468500,,4,1.0722666043124787,,,,730
CMAL,camels_11468500,,5,0.6991311274788123,0.6232876712328768,0.31712328767123293,3.421728273856131,730
deterministic,camels_11468500,,5,1.0932600918697983,,,,730
CMAL,camels_11468500,,6,0.7740263293031691,0.6054794520547945,0.3232876712328767,2.3445339202444835,730
deterministic,camels_11468500,,6,1.1617478538865913,,,,730
CMAL,camels_11468500,,7,0.8089719270282978,0.5808219178082191,0.34863013698630135,2.337441255804048,730
deterministic,camels_11468500,,7,1.2308387611010303,,,,730
CMAL,camels_11473900,,0,0.7211476248974328,0.6506849315068494,0.2904109589041096,3.8737426548046803,730
deterministic,camels_11473900,,0,1.133627335992578,,,,730
CMAL,camels_11473900,,1,0.860762823155281,0.636986301369863,0.3116438356164384,3.299367536718968,730
deterministic,camels_11473900,,1,1.241524988004606,,,,730
CMAL,camels_11473900,,2,0.8670405358836816,0.6136986301369863,0.32191780821917815,3.7412169739967163,730
deterministic,camels_11473900,,2,1.2216883885533842,,,,730
CMAL,camels_11473900,,3,0.8738364882077417,0.636986301369863,0.3116438356164384,1.9332896886249957,730
deterministic,camels_11473900,,3,1.2461330450560948,,,,730
CMAL,camels_11473900,,4,0.8878479878055667,0.6287671232876713,0.31438356164383563,3.4823792157730513,730
deterministic,camels_11473900,,4,1.2697810242437337,,,,730
