basin,variant,lead,n,issue_date_first,issue_date_last,valid_date_first,valid_date_last,coverage90,crps
camels_11473900,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.6142061281337048,0.8978833456717618
camels_11473900,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.6215083798882681,0.9127087789774972
camels_11475560,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.6342465753424658,0.9659747796709724
camels_11475560,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.6098901098901099,1.253674636731609
camels_11475560,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.6184573002754821,1.2617791284391755
camels_11475560,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.6270718232044199,1.2458790365594905
camels_11475560,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.628808864265928,1.2328589035151971
camels_11475560,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.6305555555555555,1.2590554680610515
camels_11475560,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.6476323119777159,1.298425987206798
camels_11475560,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.6536312849162011,1.3829834625632953
camels_11476600,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.7917808219178082,0.9091951899707207
camels_11476600,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7376373626373627,1.3104419377992007
camels_11476600,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.7424242424242424,1.3016352802875235
camels_11476600,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.75,1.3281530904858445
camels_11476600,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.739612188365651,1.2932344294730247
camels_11476600,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.7361111111111112,1.3872024579101132
camels_11476600,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.724233983286908,1.3680625245879336
camels_11476600,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.7011173184357542,1.4452907202956164
camels_11478500,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.9041095890410958,1.1843470714353985
camels_11478500,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.8736263736263736,1.5233746596407758
camels_11478500,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.8746556473829201,1.5693693980438785
camels_11478500,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.8632596685082873,1.5959706065758563
camels_11478500,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.8462603878116344,1.5846486188659976
